Act_No,Title,PDF_URL,Status
A1731,EVIDENCE OF CHILD WITNESS (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2459399_BI/Act A1731.pdf,Acts
A1730,LICENSED LAND SURVEYORS (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2438862_BI/Act A1730.pdf,Acts
A1729,MEDICAL (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2430768_BI/Act A1729.pdf,Acts
A1728,"LIMITED LIABILITY PARTNERSHIPS
(AMENDMENT) ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2430741_BI/Act A1728.pdf,Acts
A1727,PERSONAL DATA PROTECTION (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2430673_BI/Act A1727.pdf,Acts
A1726,"DRUG DEPENDANTS (TREATMENT AND REHABILITATION) 
(AMENDMENT) ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2430624_BI/Act A1726.pdf,Acts
A1725,"EMPLOYMENT INSURANCE SYSTEM
(AMENDMENT) ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2368216_BI/Act A1725.pdf,Acts
A1724,"EMPLOYEES’ SOCIAL SECURITY (AMENDMENT)
ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2368210_BI/Act A1724.pdf,Acts
A1723,CIVIL AVIATION AUTHORITY OF MALAYSIA (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2368202_BI/Act A1723.pdf,Acts
A1722,"CRIMINAL PROCEDURE CODE (AMENDMENT)
ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2368175_BI/Act A1722.pdf,Acts
A1721,PENAL CODE (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2368163_BI/Act A1721.pdf,Acts
A1720,AUDIT (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2368148_BI/Act A1720.pdf,Acts
A1719,SERVICE TAX (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2368126_BI/Act A1719.pdf,Acts
A1718,SALES TAX (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2368124_BI/Act A1718.pdf,Acts
A1717,FREE ZONES (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2368102_BI/Act A1717.pdf,Acts
A1716,EXCISE (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2368039_BI/Act A1716.pdf,Acts
A1714,HUMAN RIGHTS COMMISSION OF MALAYSIA (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2177741_BI/Act A1714.pdf,Acts
A1713,"UNIVERSITIES AND UNIVERSITY COLLEGES
(AMENDMENT) ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2177728_BI/Act A1713.pdf,Acts
A1712,ENVIRONMENTAL QUALITY (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2147523_BI/Act A1712.pdf,Acts
A1711,MONEY SERVICES BUSINESS (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2147525_BI/Act A1711.pdf,Acts
A1710,"HIGHWAY AUTHORITY MALAYSIA (INCORPORATION)
(AMENDMENT) ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2147526_BI/Act A1710.pdf,Acts
A1709,"MUTUAL ASSISTANCE IN CRIMINAL MATTERS
(AMENDMENT) ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2138134_BI/Act A1709.pdf,Acts
A1708,UNCLAIMED MONEYS (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2138123_BI/Act A1708.pdf,Acts
A1707,"LABUAN BUSINESS ACTIVITY TAX
(AMENDMENT) ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2130049_BI/A1707 BI.pdf,Acts
A1706,INCOME TAX (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2130048_BI/A1706 BI.pdf,Acts
A1705,POLICE (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2118824_BI/A1705 BI.pdf,Acts
A1704,"SUPPLY (REALLOCATION OF APPROPRIATED
EXPENDITURE) ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2118828_BI/A1704 BI.pdf,Acts
A1703,SUPPLEMENTARY SUPPLY (2023) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2118829_BI/A1703 BI.pdf,Acts
A1702,FOOD (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1998014_BI/A1702 BI.pdf,Acts
A1701,COMPANIES (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1997997_BI/A1701 BI.pdf,Acts
A1700,TRADE UNIONS (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1966781_BI/WJW240034 BI.pdf,Acts
A1699,"SURUHANJAYA PERKHIDMATAN AIR NEGARA
(AMENDMENT) ACT 2023",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1946986_BI/A1699 BI.pdf,Acts
A1698,"INLAND REVENUE BOARD OF MALAYSIA
(AMENDMENT) ACT 2023",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1946985_BI/A1698 BI.pdf,Acts
