Act_No,Title,PDF_URL,Status
P.U. (B) 621/2020,NOTICE OF DESIGNATION OF SITE AS HERITAGE SITE,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201120_PUB621_2020.pdf,P.U.(B)
P.U. (B) 620/2020,NOTICE TO THIRD PARTIES,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201119_PUB  620.pdf,P.U.(B)
P.U. (B) 619/2020,NOTIFICATION OF VALUES OF CRUDE PETROLEUM OIL UNDER SECTION 12,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201119_PUB619.pdf,P.U.(B)
P.U. (B) 618/2020,SPECIAL DIRECTION OF THE MINISTER,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201118_PUB618.pdf,P.U.(B)
P.U. (B) 617/2020,APPOINTMENT AND REVOCATION OF APPOINTMENT OF THE MEMBERS OF THE COMPETITION COMMISSION,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201118_PUB617.pdf,P.U.(B)
P.U. (B) 616/2020,RETURNS AND STATEMENTS OF ELECTION EXPENSES - SARAWAK,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201118_PUB616.pdf,P.U.(B)
P.U. (B) 615/2020,APPOINTMENT AND REVOCATION OF APPOINTMENT OF DIRECTOR GENERAL OF THE RUBBER INDUSTRY SMALLHOLDERS DEVELOPMENT AUTHORITY,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201118_PUB615.pdf,P.U.(B)
P.U. (B) 614/2020,"APPOINTMENT OF LOCK-UP TO BE A PLACE OF CONFINEMENT - SEGARI POLICE STATION, PERAK",https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201117_PUB614.pdf,P.U.(B)
P.U. (B) 613/2020,"APPOINTMENT OF LOCK-UP TO BE A PLACE OF CONFINEMENT -  SEGARI POLICE STATION, PERAK",https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201117_PUB613.pdf,P.U.(B)
P.U. (B) 612/2020,SPECIAL DIRECTION OF THE MINISTER,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201117_PUB612.pdf,P.U.(B)
P.U. (B) 611/2020,NOTIFICATION UNDER SECTION 10,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201117_PUB6112020.pdf,P.U.(B)
P.U. (B) 610/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - SARAWAK,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB610 - SARAWAK.pdf,P.U.(B)
P.U. (B) 609/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - SABAH,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB609 - SABAH.pdf,P.U.(B)
P.U. (B) 608/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - FEDERAL TERRITORY OF LABUAN,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB608_2020_LABUAN.pdf,P.U.(B)
P.U. (B) 607/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - JOHOR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB607 - JOHOR.pdf,P.U.(B)
P.U. (B) 606/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - MALACCA,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB606 MELAKA.pdf,P.U.(B)
P.U. (B) 605/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - NEGERI SEMBILAN,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB605_2020_N9.pdf,P.U.(B)
P.U. (B) 604/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - FEDERAL TERRITORY OF PUTRAJAYA,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB604_2020_PUTRAJAYA.pdf,P.U.(B)
P.U. (B) 603/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - FEDERAL TERRITORY OF KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB603_2020_WPKL.pdf,P.U.(B)
P.U. (B) 602/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - SELANGOR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB602_2020_SELANGOR.pdf,P.U.(B)
P.U. (B) 601/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - PAHANG,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB601 - PAHANG.pdf,P.U.(B)
P.U. (B) 600/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - PERAK,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB600 - PERAK.pdf,P.U.(B)
P.U. (B) 599/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - PENANG,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB599.pdf,P.U.(B)
P.U. (B) 598/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - TERENGGANU,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB598 TERENGGANU.pdf,P.U.(B)
P.U. (B) 597/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - KELANTAN,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB597_2020_KELANTAN.pdf,P.U.(B)
P.U. (B) 596/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - KEDAH,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB596.pdf,P.U.(B)
P.U. (B) 595/2020,NOTICE REGARDING THE CERTIFICATION AND INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE THIRD QUARTER OF THE YEAR 2020 - PERLIS,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201116_PUB595.pdf,P.U.(B)
P.U. (B) 594/2020,MEDICAL ACT 1971  -  CORRIGENDUM,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201113_PUB 594.pdf,P.U.(B)
P.U. (B) 593/2020,DECLARATION UNDER SECTION 3,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201113_PUB 593.pdf,P.U.(B)
P.U. (B) 592/2020,EXEMPTION UNDER SECTION 65U (REVOCATION),https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201113_PUB5922020.pdf,P.U.(B)
P.U. (B) 591/2020,APPOINTMENT OF JUDGES OF THE SYARIAH SUBORDINATE COURT,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201113_PUB591.pdf,P.U.(B)
P.U. (B) 590/2020,APPOINTMENT OF DEPUTY DIRECTOR GENERAL OF THE RUBBER INDUSTRY SMALLHOLDERS DEVELOPMENT AUTHORITY,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201112_PUB590_2020.pdf,P.U.(B)
P.U. (B) 589/2020,NOTICE OF EXTENSION OF TIME PERIOD FOR MAKING PRELIMINARY DETERMINATION,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201111_PUB 589.pdf,P.U.(B)
P.U. (B) 588/2020,NOTICE OF EXTENSION OF TIME PERIOD FOR MAKING PRELIMINARY DETERMINATION,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201111_PUB 588.pdf,P.U.(B)
P.U. (B) 587/2020,DECLARATION OF THE KUCHAI LINK 2 RAMP AS A DESIGNATED FEDERAL TERRITORY ROAD,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201110_pub587.pdf,P.U.(B)
P.U. (B) 586/2020,APPOINTMENT OF PROTECTORS,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201110_pub586.pdf,P.U.(B)
P.U. (B) 584/2020,APPOINTMENT OF AUTHORIZED OFFICERS,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201110_pub584.pdf,P.U.(B)
P.U. (B) 583/2020,APPOINTMENT OF PRESIDENT OF THE INDUSTRIAL COURT,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201109_PUB583.pdf,P.U.(B)
P.U. (B) 582/2020,NOTICE UNDER SUBREGULATION 11(5A) POLLING HOURS FOR THE BY-ELECTION OF THE DEWAN RAKYAT P.185 BATU SAPI IN THE STATE OF SABAH,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201109_PUB582.pdf,P.U.(B)
P.U. (B) 581/2020,NOTIFICATION OF APPOINTMENT OF ASSISTANT REGISTRAR OF CRIMINALS,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201109_PUB581.pdf,P.U.(B)
P.U. (B) 580/2020,NOTICE UNDER SECTION 70,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201106_PUB 580.pdf,P.U.(B)
P.U. (B) 579/2020,APPOINTMENT OF LOCK-UP TO BE A PLACE OF CONFINEMENT,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201106_PUB 579.pdf,P.U.(B)
P.U. (B) 578/2020,NOTIFICATION OF VALUES OF CRUDE PETROLEUM OIL UNDER SECTION 12,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201105_P.U. (B) 578.pdf,P.U.(B)
P.U. (B) 577/2020,SPECIAL DIRECTION OF THE MINISTER,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201105_PUB5772020.pdf,P.U.(B)
P.U. (B) 576/2020,APPOINTMENT OF CHAIRMAN OF A DIVISION OF THE INDUSTRIAL COURT,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201102_PUB576.pdf,P.U.(B)
P.U. (B) 575/2020,APPOINTMENT OF CHAIRMAN OF A DIVISION OF THE INDUSTRIAL COURT,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201102_PUB575.pdf,P.U.(B)
P.U. (B) 574/2020,APPOINTMENT OF CHAIRMAN AND MEMBERS OF THE LAW REVISION COMMITTEE,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201030_PUB574.pdf,P.U.(B)
P.U. (B) 573/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 30700 KAMPUNG SUNGAI LABU,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201030_PUB573.pdf,P.U.(B)
P.U. (B) 572/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 8081 TANJUNG TARAS,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201030_PUB572.pdf,P.U.(B)
P.U. (B) 571/2020,NOTICE OF PROPOSED REVOCATION OF RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 65422 MUKIM BATU,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201103_PUB5712020.pdf,P.U.(B)
P.U. (B) 570/2020,NOTICE OF PROPOSED REVOCATION OF RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 56435 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201103_PUB5702020.pdf,P.U.(B)
P.U. (B) 569/2020,NOTICE OF PROPOSED REVOCATION OF RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 42522 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201103_PUB5692020.pdf,P.U.(B)
P.U. (B) 568/2020,NOTICE OF PROPOSED REVOCATION OF RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 5111 MUKIM HULU KELANG,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201103_PUB5682020.pdf,P.U.(B)
P.U. (B) 567/2020,DECLARATION OF QUARANTINE STATIONS (NO. 20) 2020,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201030_P.U. (B) 567.pdf,P.U.(B)
P.U. (B) 566/2020,"APPOINTMENT OF CHAIRMAN, DEPUTY CHAIRMAN AND MEMBERS OF THE APPEAL BOARD",https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201028_PUB566_2020.pdf,P.U.(B)
P.U. (B) 565/2020,NOTICE OF COMPLETION OF REVISION AND INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - SARAWAK,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB565.pdf,P.U.(B)
P.U. (B) 564/2020,NOTICE OF COMPLETION OF REVISION AND INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - SABAH,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB564.pdf,P.U.(B)
P.U. (B) 563/2020,NOTICE OF COMPLETION OF REVISION AND INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - FEDERAL TERRITORY OF LABUAN,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB563.pdf,P.U.(B)
P.U. (B) 562/2020,NOTICE OF COMPLETION OF REVISION AND INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - JOHORE,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201028_PUB5622020.pdf,P.U.(B)
P.U. (B) 561/2020,NOTICE OF COMPLETION OF REVISION AND INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - MALACCA,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB561.pdf,P.U.(B)
P.U. (B) 560/2020,NOTICE OF COMPLETION OF REVISION AND INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - NEGERI SEMBILAN,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB560.pdf,P.U.(B)
P.U. (B) 559/2020,NOTICE OF COMPLETION OF REVISION AND INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - FEDERAL TERRITORY OF PUTRAJAYA,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB559.pdf,P.U.(B)
P.U. (B) 558/2020,NOTICE OF COMPLETION OF REVISION AND INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - FEDERAL TERRITORY OF KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB558.pdf,P.U.(B)
P.U. (B) 557/2020,NOTICE OF COMPLETION OF REVISION AND  INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - SELANGOR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB557-SELANGOR.pdf,P.U.(B)
P.U. (B) 556/2020,NOTICE OF COMPLETION OF REVISION AND  INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - PAHANG,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB556-PAHANG.pdf,P.U.(B)
P.U. (B) 555/2020,NOTICE OF COMPLETION OF REVISION AND  INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - PERAK,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB555-PERAK.pdf,P.U.(B)
P.U. (B) 554/2020,NOTICE OF COMPLETION OF REVISION AND  INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - PULAU PINANG,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB554 - PULAU PINANG.pdf,P.U.(B)
P.U. (B) 553/2020,NOTICE OF COMPLETION OF REVISION AND  INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - TERENGGANU,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB553-TERENGGANU.pdf,P.U.(B)
P.U. (B) 552/2020,NOTICE OF COMPLETION OF REVISION AND  INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - KELANTAN,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB552 - KELANTAN.pdf,P.U.(B)
P.U. (B) 551/2020,NOTICE OF COMPLETION OF REVISION AND  INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - KEDAH,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB 551 - KEDAH.pdf,P.U.(B)
P.U. (B) 550/2020,NOTICE OF COMPLETION OF REVISION AND  INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - PERLIS,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB 550 - PERLIS.pdf,P.U.(B)
P.U. (B) 549/2020,NOTICE OF COMPLETION OF REVISION AND  INSPECTION OF SUPPLEMENTARY ELECTORAL ROLLS - PARLIMEN,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB549 - PARLIMEN.pdf,P.U.(B)
P.U. (B) 548/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 481725 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB5482020.pdf,P.U.(B)
P.U. (B) 547/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 65216 MUKIM BATU,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201026_PUB 547.pdf,P.U.(B)
P.U. (B) 546/2020,NOTIFICATION OF VALUES OF PALM KERNEL UNDER SECTION 12,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201026_PUB 546.pdf,P.U.(B)
P.U. (B) 545/2020,NOTIFICATION OF VALUES OF CRUDE PALM OIL UNDER SECTION 12,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201026_PUB 545.pdf,P.U.(B)
P.U. (B) 544/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 481340 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201023_P.U. (B) 544.pdf,P.U.(B)
P.U. (B) 543/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 481339 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201023_P.U. (B) 543.pdf,P.U.(B)
P.U. (B) 542/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 481338 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201023_P.U. (B) 542.pdf,P.U.(B)
P.U. (B) 541/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 80116 MUKIM AMPANG,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB5412020.pdf,P.U.(B)
P.U. (B) 540/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 80111 MUKIM AMPANG,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB5402020.pdf,P.U.(B)
P.U. (B) 539/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 481342 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB539_2020.pdf,P.U.(B)
P.U. (B) 538/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE LOT 81233 MUKIM BATU,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB538_2020.pdf,P.U.(B)
P.U. (B) 537/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 81232 MUKIM BATU,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB537_2020.pdf,P.U.(B)
P.U. (B) 536/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 481272 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201027_PUB5362020.pdf,P.U.(B)
P.U. (B) 535/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 481341 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB535_2020.pdf,P.U.(B)
P.U. (B) 534/2020,NOTICE TO THIRD PARTIES,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB534.pdf,P.U.(B)
P.U. (B) 533/2020,APPOINTMENT OF DATE OF COMING INTO OPERATION,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB533_2020.pdf,P.U.(B)
P.U. (B) 532/2020,APPOINTMENT OF DATE OF COMING INTO OPERATION,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB532_2020.pdf,P.U.(B)
P.U. (B) 531/2020,APPOINTMENT OF DATE OF COMING INTO OPERATION,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB531_2020.pdf,P.U.(B)
P.U. (B) 530/2020,APPOINTMENT OF DATE OF COMING INTO OPERATION,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB530_2020.pdf,P.U.(B)
P.U. (B) 529/2020,NOTIFICATION OF VALUES OF CRUDE PETROLEUM OIL UNDER SECTION 12,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB529_2020.pdf,P.U.(B)
P.U. (B) 528/2020,DECLARATION OF ROAD AT FEDERAL TERRITORY OF PUTRAJAYA AS DESIGNATED FEDERAL TERRITORY ROAD,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201021_PUB528.pdf,P.U.(B)
P.U. (B) 527/2020,RETURNS AND STATEMENTS OF ELECTION EXPENSES - PERAK,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201019_PUB527.pdf,P.U.(B)
P.U. (B) 526/2020,FREE ZONES (AMENDMENT OF FIRST SCHEDULE) NOTIFICATION (NO. 2) 2020,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/P.U. (B) 526-2020.pdf,P.U.(B)
P.U. (B) 525/2020,FREE ZONES (DECLARED AREA) NOTIFICATION  (NO. 4) 2020,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201016_PUB 525.pdf,P.U.(B)
P.U. (B) 524/2020,FREE ZONES (DECLARED AREA) NOTIFICATION (NO. 3) 2020,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201016_PUB 524.pdf,P.U.(B)
P.U. (B) 523/2020,DECLARATION OF QUARANTINE STATIONS (NO. 19) 2020,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201016_PUB 523.pdf,P.U.(B)
P.U. (B) 522/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 481714 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201015_PUB522.pdf,P.U.(B)
P.U. (B) 521/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 20088 BANDAR KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB5212020.pdf,P.U.(B)
P.U. (B) 520/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 58700 MUKIM BATU,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201022_PUB5202020.pdf,P.U.(B)
P.U. (B) 519/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 80839 MUKIM BATU,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201015_PUB519_2020.pdf,P.U.(B)
P.U. (B) 518/2020,NOTIFICATION OF DECLARATION UNDER SUBSECTION 399(2),https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201016_PUB5182020.pdf,P.U.(B)
P.U. (B) 517/2020,NOTICE TO THIRD PARTIES,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201016_PUB5172020.pdf,P.U.(B)
P.U. (B) 516/2020,NOTICE TO THIRD PARTIES,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201015_PUB516.pdf,P.U.(B)
P.U. (B) 515/2020,NOTICE TO HOLD A BY-ELECTION OF A MEMBER OF THE DEWAN RAKYAT OF THE STATE OF SABAH FOR THE CONSTITUENCY OF P.185 BATU SAPI,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201014_PUB515.pdf,P.U.(B)
P.U. (B) 514/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 80071 MUKIM HULU KLANG,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201014_PUB514.pdf,P.U.(B)
P.U. (B) 513/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 481720 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201014_PUB513.pdf,P.U.(B)
P.U. (B) 512/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 481712 MUKIM KUALA LUMPUR,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201014_PUB512.pdf,P.U.(B)
P.U. (B) 511/2020,RESERVATION OF LAND FOR PUBLIC PURPOSE FOR LOT 40950 MUKIM PETALING,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201014_PUB511.pdf,P.U.(B)
P.U. (B) 510/2020,NOTIFICATION UNDER SUBREGULATION 3(3) FOR THE PURPOSE OF BY-ELECTION FOR THE SEAT OF THE DEWAN RAKYAT P.185 BATU SAPI IN THE STATE OF SABAH,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201013_PUB510.pdf,P.U.(B)
P.U. (B) 509/2020,NOTIFICATION UNDER PARAGRAPH 3(1)(e) FOR THE PURPOSE OF BY-ELECTION FOR THE SEAT OF THE DEWAN RAKYAT P.185 BATU SAPI IN THE STATE OF SABAH,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201013_PUB509.pdf,P.U.(B)
P.U. (B) 508/2020,DETERMINATION OF ELECTORAL ROLL FOR THE BY-ELECTION OF P.185 BATU SAPI,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20201013_PUB508.pdf,P.U.(B)
