Pillar/indicator_ID;Guide_desc
4_4;"This indicator looks at whether an economy is a member of the WIPO Patent Cooperation Treaty
(PCT) (box 3). The PCT is a multilateral treaty and creates a unified patent system, which provides
several advantages to residents or nationals of PCT members. The lack of PCT membership
can increase the risks of elevated regulatory compliance costs, especially when the businesses
wish to establish a patent in other member economies."
4_5;"This indicator asks for the presence of a copyright legal framework and what type of copyright
exceptions, if any, an economy has adopted. The exceptions allow lawful use of copyrighted works
without obtaining permission or a license from the copyright holders. This encourages foreign
people (natural or legal) to use existing materials copyrighted in an economy and thereby foster
innovation and development. However, the degree to which the exceptions promote this interest
differs depending on the type of exceptions.
First, the doctrine of fair use provides that if the use of a copyrighted work is fair, the use is lawful.
Such use is considered fair in light of several factors, such as: (a) the purpose and character of the
use; (b) the nature of the copyrighted work; (c) the amount and substantiality of the portion taken;
and (d) the effect of the use upon the commercial market. Thus, the doctrine is a flexible, case-
by-case test, creating more room for new, innovative use. In general, the use of copyrighted
material for criticism, comment, news reporting, teaching, scholarship or research is fair, but not
always; furthermore, the use of other than these examples can be fair.
Second, the doctrine of fair dealing provides that the use of copyrighted material is permissible
only if the use (a) falls under an exhaustive list of permissible uses, and (b) is fair (e.g., giving
proper attribution to the copyright holder). Generally, the list is confined to research, private study,
education, satire, parody, criticism, review or news reporting, leaving little ‘wriggle room’ for
subsequent use of copyrighted works.
Aside from fair use and fair dealing doctrines, an economy may incorporate a test similar to the
three-step test and other forms of copyright exceptions. The three-step test was established under
Article 9(2) of the Berne Convention for the Protection of Literary and Artistic Works, which states
that: “reproduction [of literary and artistic works protected by the Convention] in certain special
cases (a) does not conflict with a normal exploitation of the work and (b) does not unreasonably
prejudice the legitimate interests of the author.” However, this test alone does not say much about
what constitutes permissible use, thus creating uncertainty.
Additionally, examples of other forms of copyright exceptions can be found in Indonesia and the
Marshall Islands, where a closed list of exceptions has been adopted rather than a flexible case-
by-case test:
- Indonesia narrowly defines exceptions which allow limited uses of copyrighted works, such
as for educational purposes, research, personal use, public interest, or review, provided
that the use is non-commercial; and
- The Marshall Islands prohibits unauthorized commercial reproduction of sound recordings
and audiovisual works but provides specific exceptions. These include works not created in
the Marshall Islands, works by non-citizen owners, reproduction for free radio or TV
broadcasts, historic or archival purposes, or for strictly personal use without commercial
intent."
4_6;"This indicator asks whether an economy’s intellectual property rights legal frameworks concerning
copyright incorporate (a) civil and administrative procedures; and (b) provisional measures.
According to the WTO Trade-Related Aspects of Intellectual Property Rights (TRIPS) Agreement
Part III, enforcement of intellectual property rights, Articles 42-49 (Section 2 civil and administrative
procedures and remedies), 17 right-holders are permitted to pursue civil and administrative
procedures in cases of intellectual property rights infringements. Judicial authorities are
empowered to request the infringers to pay the right-holder damages adequately to compensate
for the arising injuries.
Moreover, regarding the provisional measures, the WTO TRIPS Article 50 (Section 3 provisional
measures) prescribes that the judicial authorities shall have the authority to order prompt and
effective provisional measures: (a) to prevent an infringement of any intellectual property rights
from occurring, and in particular to prevent the entry into the channels of commerce in their
jurisdiction of goods, including imported goods immediately after customs clearance; and (b) to
preserve relevant evidence in regard to the alleged infringement. If the provisional measures are
implemented, the parties involved shall be given notice without delay.
The legal framework considered under this indicator is not limited to dedicated intellectual property
or patent laws. General laws, such as the Civil Code or procedural laws, are applicable."
4_7;"This indicator looks at whether an economy is a signatory to the WIPO Patent Cooperation Treaty
(WCT) (box 4). The WCT is a special agreement under the Berne Convention for the Protection
of Literary and Artistic Works and ensures the protection of works and the rights of their authors
in the digital environment.
The WCT expands the scope of copyright protection to two subject matters for at least 50 years:
(a) computer programs, whatever the mode or form of their expression; and (b) compilations of
data (“database”), in any form, whose contents constitute intellectual creation.18 The Treaty grants
exclusive rights apart from the rights recognized by the Berne Convention to authors, which are
the right of distribution, the right of rental and the right of communication by wire or wireless
transmission."
4_8;"This indicator looks at whether an economy is a signatory to the WIPO Performances and
Phonograms Treaty (WPPT) (box 4). The WPPT ensures the rights connected to aural
performances, which are the subject matter of phonograms.20 Two kinds of beneficiaries in the
digital environment are focused on: (a) performers (actors, singers, musicians, etc.) and (b)
producers of phonograms (persons or legal entities that take the initiative and have the
responsibility for the fixation of sounds). The term of protection of these rights is 50 years.
The Treaty grants exclusive rights to the performances fixed in phonograms (excluding audiovisual
fixations, such as motion pictures) and phonograms. The rights are the right of reproduction,
the right of distribution, the right of rental and the right of making available by wire or wireless
transmission.21 The performers of the unfixed (live) performances also receive the right of
broadcasting, the right of communication to the public, the right of fixation, as well as the moral
right that is the right to claim to be identified as the performer and object to any distortion or
modification that would be prejudicial to their reputation."
4_9;"This indicator asks whether a Government mandates the disclosure of trade secrets, such as
source code and algorithms. The disclosure requirement under this Pillar does cover disclosure
requirements related to public procurement or encryption, as these are captured separately under
Pillars 2 and 11, respectively. For example:
• In Malawi, there are requirements for encryption service providers to declare the means
of encryption and the source code of the software used by the Malawi Communications
Regulatory Authority;
• In Solomon Islands, disclosure of trade secrets to panel members is mandatory during
proceedings, but safeguards exist as members are prohibited from further disclosing such
information; and
• In Turkmenistan, authorities have the right to access information constituting a trade secret
within their legal competence. While disclosure is mandatory, the law prescribes that such
information must be handled in accordance with the established procedures and cannot
be further disclosed unless allowed by law.
In line with the spirit of WTO Trade-Related Aspects of Intellectual Property Rights (TRIPS) to
guide trade secret protection, “members shall protect the submission of undisclosed data against
unfair commercial use and disclosure, except where necessary to protect the public, or unless steps
are taken to ensure that the data are protected against unfair commercial use”
. Hence, the
requirement could be of limited scope, meaning that the disclosure is conditional or becomes
mandatory only in certain circumstances. For example, an economy may adopt an escrow
requirement for source codes in public procurement. Suppliers transfer the source codes to an
escrow, and the source codes would be transferred to the Government, for example, when the
suppliers go bankrupt or refuse to fix their products or programmes. Indonesia has an escrow
requirement for custom-made software."
4_10;"This indicator asks whether an economy has adopted a trade secrets legal framework that
provides effective protection of trade secrets. ‘Effective protection’ means that confidential
business information or commercially valuable data are protected from unauthorized acquisition,
use or disclosure through clear and enforceable legal provisions or well-established common law
principles. The framework should enable right holders to take legal action against
misappropriation, including remedies such as injunctions, damages and, where applicable,
criminal sanctions.
Specifically, in common law jurisdictions, effective protection may arise from case law and judicial
precedents on confidentiality and breach of confidence, even if there is no dedicated statutory
framework. Therefore, the absence of a standalone trade secrets legal framework does not
necessarily imply a lack of effective protection, provided that courts enforce protections against
unauthorized disclosure of trade secrets. For instance, Singapore’s trade secrets protection is
grounded in the common law doctrine of breach of confidence. The framework and case law23
meet international standards under TRIPS Article 39,24 providing protection against unauthorized
acquisition, use or disclosure and implementing remedies.
The scope of the indicator is the protection of trade secrets under domestic laws, i.e., statutes
(intellectual property law and other laws), case laws, and other relevant legal frameworks. All forms
of trade secret legal framework, such as Acts, provisions, clauses, or common law doctrine, are
taken into consideration."
5;"Pillar 5 deals with policies regarding telecommunications infrastructure and competition, covering
telecommunication services as defined under the WTO GATS telecommunications services.
The Pillar includes all forms of basic and value-added telecommunications regardless of the
technology used. 25 Basic telecommunications services encompass both public and private
services that involve end-to-end transmission of customer-supplier information (such as voice
telephone services, circuit-switched data transmission services, and fixed satellite services).
Value-added telecommunications refer to services that enhance or add to basic telecom services
(such as online data processing, online database storage and retrieval, email, and voice mail).
26
It is important to note that broadcasting services are not covered under this Pillar.27
For telecommunications infrastructure and competition policies, relevant policy objectives such as
national security, provision of critical infrastructure, raising Government revenue and effective
allocation of scarce resources invite regulation of the market by the Government. However, for a
domestic telecom market to benefit from digital trade, often by means of foreign investment, these
policy objectives need to be balanced, as shown in figure 13, with the policy environment that is
conducive to competition among domestic and foreign telecom providers."
5_1;"This indicator looks at (a) whether there is an obligation for passive infrastructure sharing in the
economy, and (b) whether the adopted regulatory approach is mandatory or voluntary sharing.
‘The passive infrastructure’ refers to the sharing of non-electronic infrastructure or the physical
infrastructure, such as buildings, sites, network cabinets, masts (towers), poles, ducts and trays.28
The telecom infrastructure involves high costs, i.e., installation, equipment, operation and
maintenance costs. The infrastructure sharing obligation is the process by which one or more
telecom operators share infrastructure to deliver services to the end-users. This obligation, thereby,
lowers the network deployment, especially in rural areas or marginal markets, stimulates migration
to new technologies and the deployment of mobile broadband, and enhances competition between
telecom operators and service providers, when safeguards are used to prevent anti-competitive
behaviour (ITU, n.d.). Moreover, the infrastructure sharing obligation can be established under
various business models and forms.
For example:
• The passive infrastructure sharing obligation is mandated. For example, Thailand requires
telecom operators in both fixed and mobile sectors to share their wireless
telecommunication network infrastructures, including tower/mast, site, building and other
physical facilities, with other telecom operators in a reasonable and fair manner, without
discrimination;
• The passive infrastructure sharing obligation is optional, but is implemented. For example,
Pakistan, Vanuatu, and Hong Kong (China) do not mandate a passive sharing obligation.
However, infrastructure sharing is effectively implemented based on a commercial
agreement in both mobile and fixed sectors. New Zealand does not require sharing
obligation; however, a framework for voluntary co-location of cellular infrastructure is in
place to facilitate sharing of towers, masts and related sites; and
• The passive infrastructure obligation is mandated in specific circumstances or upon
request. For example, in Australia, passive infrastructure sharing is practised in mobile
and fixed sectors. In the mobile sector, co-location on towers and ducts is negotiated
commercially. While in the fixed sector, the network owner of the following declared
services, such as line sharing service (LSS), local carriage service (LCS), must provide
access to the service upon request."
5_2;"This indicator concerns the maximum foreign equity shares in the specific sector of
telecommunications. The indicator covers restrictions on foreign equity shares in (a) privately
owned companies, and (b) Government-controlled companies—fully or partially SOEs. Foreign
equity shares are shares that foreign natural or legal persons hold in a firm incorporated in the
investee economy. Foreign investment is a driving force to increase competition and
transformation in the telecom market. Limitation on foreign equity shares is a direct obstacle for
foreign investors that could induce a higher level of development in the telecom sector. In
particular, the foreign equity shares under this Pillar do not include the foreign equity shares in
other sectors relevant to digital trade or the e-commerce sector, which are captured in Pillars 3
and 12, respectively."
