Start_Index,Publication_Date,PU_No,Title,Status,Date_of_Commencement,PDF_URL
0,2025-08-28,P.U. (A) 291/2025,FEDERAL ROADS (PRIVATE MANAGEMENT) (COLLECTION OF TOLLS) (KEMUNING-SHAH ALAM HIGHWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047795/PUA 291.pdf
0,2025-08-28,P.U. (A) 290/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (NORTH SOUTH EXPRESSWAY CENTRAL LINK AND KLIA EXPRESSWAY)  (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048162/PUA 290_2025.pdf
0,2025-08-28,P.U. (A) 289/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (SHAH ALAM EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048137/PUA 289_2025.pdf
0,2025-08-28,P.U. (A) 288/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (MALAYSIA-SINGAPORE SECOND CROSSING BRIDGE AND EXPRESSWAY AND PERLING EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048116/PUA 288_2025.pdf
0,2025-08-28,P.U. (A) 287/2025,"FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (JURU-JALAN DUTA-BUKIT RAJA EXPRESSWAY, NORTH SOUTH EXPRESSWAY CENTRAL LINK AND KUALA LUMPUR-JOHORE BAHRU EXPRESSWAY) (AMENDMENT) ORDER 2025",AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048103/PUA 287_2025.pdf
0,2025-08-28,P.U. (A) 286/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (AMPANG-KUALA LUMPUR ELEVATED HIGHWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047790/PUA 286.pdf
0,2025-08-28,P.U. (A) 285/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (DAMANSARA-PUCHONG HIGHWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047780/PUA 285.pdf
0,2025-08-28,P.U. (A) 284/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (EAST COAST EXPRESSWAY- PHASE 1) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048184/PUA 284_2025.pdf
0,2025-08-28,P.U. (A) 283/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (KUALA LUMPUR-KARAK HIGHWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048180/PUA 283_2025.pdf
0,2025-08-28,P.U. (A) 282/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (CHERAS-KAJANG HIGHWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048171/PUA 282_2025.pdf
0,2025-08-28,P.U. (A) 281/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (DAMANSARA-SHAH ALAM ELEVATED EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047285/PUA 281_2025.pdf
0,2025-08-28,P.U. (A) 280/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (WEST COAST EXPRESSWAY  (TAIPING-BANTING)) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047281/PUA 280_2025.pdf
0,2025-08-28,P.U. (A) 279/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (WESTERN KUALA LUMPUR TRAFFIC DISPERSAL SCHEME HIGHWAY-KERINCHI LINK AND DAMANSARA LINK) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048037/PUA 279.pdf
0,2025-08-28,P.U. (A) 278/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS)  (SENAI-PASIR GUDANG-DESARU EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048030/PUA 278.pdf
0,2025-08-28,P.U. (A) 277/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (KAJANG-SEREMBAN HIGHWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048017/PUA 277.pdf
0,2025-08-27,P.U. (A) 276/2025,PRINTING PRESSES AND PUBLICATIONS (CONTROL OF UNDESIRABLE PUBLICATIONS) (NO. 24) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047336/PUA 276 (2025).pdf
